month,T2M,T2M_MIN,T2M_MAX,RH2M,PRECTOTCORR,WS2M,ALLSKY_SFC_SW_DWN,CLRSKY_SFC_SW_DWN,T2MDEW,CLOUD_FRACTION,RAINY_DAY_COUNT,RAINY_DAY_FRACTION,MILD_SCORE,STARGAZING_SCORE
2000-01-01,21.38258064516129,11.86,32.86,59.87806451612904,0.66,2.635483870967742,20.19741935483871,21.850967741935484,11.03032258064516,0.07567392010392981,0,0.0,96.65,37.09
2000-02-01,24.438275862068966,13.02,34.45,56.389310344827585,52.0,2.421724137931035,20.019655172413792,23.24896551724138,13.09896551724138,0.13890124885052368,5,0.1724,16.05,37.55
2000-03-01,25.751290322580644,12.73,37.08,45.237096774193546,0.05,2.491290322580645,25.211290322580645,25.803870967741933,10.511612903225807,0.022964796479647887,0,0.0,0.0,53.51
2000-04-01,28.363666666666667,18.81,38.8,50.025,51.33,2.213,23.672,26.188666666666666,15.116333333333333,0.09609754855790031,9,0.3,0.0,45.17
2000-05-01,26.246451612903225,19.96,38.07,63.973225806451616,60.62,2.7661290322580645,23.31032258064516,25.85741935483871,17.937741935483874,0.09850545173282776,12,0.3871,0.0,32.48
2000-06-01,23.401333333333334,17.22,32.39,74.40933333333334,68.67,5.013,17.45,25.611666666666668,18.059,0.3186698770091756,16,0.5333,45.68,17.44
2000-07-01,23.396451612903224,18.22,32.28,74.30387096774194,123.49000000000001,4.807096774193549,18.469032258064516,25.500967741935483,17.975483870967743,0.2757517108775125,11,0.3548,45.82,18.61
2000-08-01,22.34709677419355,17.03,28.66,82.75354838709679,187.79,4.063548387096774,16.728709677419356,25.77064516129032,19.04258064516129,0.3508618207763271,21,0.6774,75.8,11.2
2000-09-01,22.89466666666667,18.36,29.23,83.33166666666666,211.34,2.303,19.243666666666666,24.810333333333336,19.637666666666668,0.22436887855866516,20,0.6667,60.15,12.93
2000-10-01,21.58677419354839,14.22,27.6,82.01548387096774,207.5,1.716451612903226,17.871290322580645,23.583225806451615,18.082903225806454,0.242203315642611,17,0.5484,97.52,13.63
2000-11-01,20.198333333333334,12.47,27.52,83.08333333333333,20.0,2.4033333333333333,17.392999999999997,21.541333333333334,16.889333333333333,0.19257551374102522,6,0.2,62.81,13.66
2000-12-01,18.61935483870968,8.86,29.16,73.4574193548387,17.1,2.546774193548387,18.679354838709678,21.17290322580645,12.63258064516129,0.11777073557194218,5,0.1613,17.7,23.42
2001-01-01,21.09903225806452,11.45,31.87,64.01161290322581,0.8400000000000001,2.4316129032258065,18.83677419354839,21.32225806451613,12.175806451612903,0.11656757288309949,0,0.0,88.54,31.79
2001-02-01,24.646071428571428,12.63,36.57,42.925357142857145,0.05,2.08,22.74607142857143,23.68892857142857,7.650714285714286,0.039801595079075325,0,0.0,10.11,54.8
2001-03-01,27.701612903225808,14.91,38.15,38.87032258064516,0.9,2.3019354838709676,23.384838709677418,25.144193548387097,10.59,0.06997062106303009,0,0.0,0.0,56.85
2001-04-01,26.155666666666665,16.81,38.5,61.051,246.34,2.15,22.976,26.389333333333337,16.217,0.12934518997574795,9,0.3,0.0,33.91
2001-05-01,25.695483870967745,18.69,35.97,69.22225806451613,48.55,3.0935483870967744,24.75774193548387,26.681935483870966,18.78548387096774,0.07211596585825852,6,0.1935,0.0,28.56
2001-06-01,23.958666666666666,17.82,32.91,73.25733333333332,30.59,5.078666666666667,17.762333333333334,25.748,18.290333333333333,0.3101470664388173,9,0.3,29.75,18.45
2001-07-01,23.478064516129034,17.73,32.13,75.42096774193548,104.34,4.884193548387096,16.807741935483868,25.47967741935484,18.348064516129032,0.3403471457328422,13,0.4194,43.48,16.21
2001-08-01,23.19645161290323,17.98,31.45,77.89064516129032,63.07,4.475806451612903,16.546774193548387,25.88193548387097,18.690645161290323,0.3606825036767455,15,0.4839,51.53,14.13
