month,T2M,T2M_MIN,T2M_MAX,RH2M,PRECTOTCORR,WS2M,ALLSKY_SFC_SW_DWN,CLRSKY_SFC_SW_DWN,T2MDEW,CLOUD_FRACTION,RAINY_DAY_COUNT,RAINY_DAY_FRACTION,MILD_SCORE,STARGAZING_SCORE
2000-01-01,19.611612903225808,12.02,27.89,70.6974193548387,3.09,0.8035483870967742,20.105806451612903,21.524838709677418,13.52774193548387,0.06592533756949959,2,0.0645,46.05,27.37
2000-02-01,21.050689655172416,10.6,30.33,72.88,9.780000000000001,0.7179310344827586,22.057931034482756,23.87034482758621,15.17448275862069,0.07592742401479269,4,0.1379,87.16,25.06
2000-03-01,24.304516129032258,12.21,35.64,55.77483870967742,0.0,0.7387096774193548,25.669032258064515,26.331612903225807,12.639032258064516,0.025162934287254468,0,0.0,19.87,43.11
2000-04-01,26.667333333333332,17.75,38.22,63.608333333333334,11.110000000000001,0.9226666666666666,24.087666666666667,26.324,17.508666666666667,0.08495416096844455,2,0.0667,0.0,33.3
2000-05-01,24.720000000000002,19.15,35.67,74.25774193548386,157.37,1.3190322580645162,21.285806451612903,26.10258064516129,19.008064516129032,0.18453248968091152,16,0.5161,8.0,20.99
2000-06-01,21.921333333333333,18.52,26.54,88.95599999999999,756.14,1.8763333333333334,14.120333333333333,25.402333333333335,19.910666666666668,0.44413242877950854,29,0.9667,87.96,6.14
2000-07-01,21.431290322580644,18.45,26.4,90.92774193548388,467.37,1.8803225806451613,15.141935483870967,25.371612903225806,19.815483870967743,0.4031938157961654,27,0.871,98.04,5.41
2000-08-01,21.429354838709674,17.78,28.17,91.4574193548387,485.16,1.6958064516129032,14.371612903225806,25.470645161290324,19.912580645161288,0.435757798351043,29,0.9355,97.98,4.82
2000-09-01,22.188666666666666,18.13,28.0,89.42266666666666,120.69,0.903,17.508666666666667,24.753666666666668,20.21966666666667,0.2926839121476953,21,0.7,80.32,7.48
2000-10-01,21.442580645161293,14.01,27.3,87.3816129032258,164.92000000000002,0.5880645161290323,17.73548387096774,23.462903225806453,19.052258064516128,0.2441053138104078,23,0.7419,98.36,9.54
2000-11-01,20.026666666666664,12.6,27.11,82.856,7.470000000000001,0.891,18.963666666666665,21.807666666666666,16.78066666666667,0.13041285174938488,3,0.1,57.9,14.91
2000-12-01,18.098709677419354,10.25,27.0,74.4574193548387,5.24,0.9287096774193548,18.687096774193545,21.009999999999998,12.985483870967743,0.11056179085228235,2,0.0645,2.82,22.72
2001-01-01,20.16774193548387,11.45,29.68,66.83870967741936,1.04,0.7929032258064516,19.190967741935484,21.316451612903226,13.005483870967742,0.09971096079054487,0,0.0,61.94,29.85
2001-02-01,22.6225,10.99,34.03,56.60214285714285,0.09999999999999999,0.6767857142857142,22.56964285714286,23.67892857142857,11.678928571428571,0.04684695555119822,0,0.0,67.93,41.36
2001-03-01,24.950645161290325,15.33,36.43,58.200645161290325,0.05,0.6880645161290322,24.438387096774196,25.871935483870967,14.215806451612902,0.0554093986509232,0,0.0,1.41,39.48
2001-04-01,25.486666666666668,17.38,37.08,70.46033333333334,125.33,0.5419999999999999,22.774,26.525,18.456333333333337,0.14141376060320443,14,0.4667,0.0,25.36
2001-05-01,24.81483870967742,18.66,35.86,75.69774193548388,165.15,1.3483870967741935,22.603225806451615,26.993870967741938,19.419032258064515,0.16265340997359012,16,0.5161,5.29,20.35
2001-06-01,22.18433333333333,18.45,28.6,88.05033333333334,743.05,2.015,14.233666666666666,25.609666666666666,19.983999999999998,0.444207265485689,27,0.9,80.45,6.64
2001-07-01,21.51516129032258,18.44,25.41,92.11774193548388,748.55,1.9261290322580646,12.733870967741936,24.86064516129032,20.140967741935484,0.48779000363315506,31,1.0,99.57,4.04
2001-08-01,21.442580645161293,18.09,25.88,92.22258064516129,470.2,1.747741935483871,13.134516129032258,25.351290322580645,20.080967741935485,0.4818995024749011,30,0.9677,98.36,4.03
2001-09-01,21.75433333333333,18.04,27.44,89.99266666666668,215.59,0.857,18.61,24.908,19.915666666666667,0.25285048980247316,17,0.5667,92.73,7.48
2001-10-01,21.613870967741935,14.9,27.39,89.43774193548387,181.81,0.7732258064516129,17.15032258064516,23.08225806451613,19.66741935483871,0.2569911257074978,18,0.5806,96.75,7.85
2001-11-01,20.918,13.61,26.64,85.14766666666667,64.69,0.7773333333333333,18.490666666666666,21.387999999999998,18.118,0.13546536998940206,10,0.3333,83.37,12.84
2001-12-01,18.651290322580646,10.44,26.2,79.14741935483872,1.23,0.937741935483871,18.55548387096774,20.756129032258066,14.62516129032258,0.10602387168966809,0,0.0,18.61,18.64
2002-01-01,19.70451612903226,10.21,28.93,75.71,0.0,0.7290322580645162,19.469354838709677,21.318064516129034,14.699354838709677,0.08672033411009905,0,0.0,48.7,22.18
2002-02-01,21.816785714285714,12.11,32.14,62.96857142857143,8.35,0.8492857142857143,21.46392857142857,23.900000000000002,12.875357142857142,0.1019276748356247,2,0.0714,90.95,33.26
2002-03-01,25.32225806451613,14.08,36.6,54.70612903225806,0.34,0.7941935483870968,24.523225806451613,25.529032258064515,13.369354838709677,0.03939853424311346,0,0.0,0.0,43.51
2002-04-01,27.527,19.02,38.84,59.16466666666667,12.629999999999999,0.6946666666666667,24.012,26.63266666666667,16.952333333333332,0.09840046058724883,5,0.1667,0.0,36.82
2002-05-01,25.31451612903226,20.37,38.81,75.97935483870968,142.16,1.24,20.546451612903226,26.473870967741938,19.784193548387094,0.22389696474917453,15,0.4839,0.0,18.64
2002-06-01,22.957666666666668,19.74,28.59,88.30966666666667,562.55,1.5986666666666667,15.247000000000002,25.293666666666663,20.788999999999998,0.39720088032577305,29,0.9667,58.35,7.05
2002-07-01,22.20935483870968,18.9,27.06,88.76709677419356,345.5,1.8070967741935482,14.82258064516129,24.773548387096774,20.144193548387097,0.4016771270085159,30,0.9677,79.73,6.72
2002-08-01,21.628064516129033,18.31,27.27,90.35225806451614,413.87,1.8419354838709678,13.639354838709677,24.761935483870968,19.89322580645161,0.44918058414319584,25,0.8065,96.34,5.31
2002-09-01,21.813666666666666,17.1,28.12,88.35133333333333,155.04,0.995,20.24866666666667,25.554666666666666,19.637,0.20763330898466026,15,0.5,91.04,9.23
2002-10-01,22.362903225806452,16.36,29.59,87.26677419354839,408.3,0.7564516129032258,17.413870967741936,23.233870967741936,19.940645161290323,0.25049635543214166,23,0.7419,75.35,9.54
2002-11-01,20.974666666666668,13.41,26.97,82.23266666666667,22.06,0.7996666666666667,18.825666666666667,21.415666666666667,17.557333333333336,0.12093949912058155,5,0.1667,84.99,15.62
2002-12-01,18.485806451612902,10.99,25.94,73.35032258064517,0.21,0.8458064516129032,19.123548387096776,20.73,13.123870967741935,0.07749404789692349,0,0.0,13.88,24.58
2003-01-01,19.845483870967744,12.24,28.46,69.48451612903226,0.02,0.7664516129032258,19.399032258064516,20.913548387096775,13.573225806451612,0.07241794175715699,0,0.0,52.73,28.31
2003-02-01,22.905,12.71,32.29,66.74714285714286,4.61,0.6571428571428571,21.962857142857143,23.475357142857145,15.4625,0.0644292647304926,2,0.0714,59.86,31.11
2003-03-01,25.574516129032258,16.7,35.99,58.87935483870968,5.41,0.6477419354838709,23.65064516129032,25.41548387096774,15.307096774193548,0.06943950855460224,2,0.0645,0.0,38.27
2003-04-01,26.959,19.61,36.51,63.80266666666667,45.1,0.6596666666666666,23.517999999999997,26.394000000000002,18.069333333333336,0.10896415852087615,8,0.2667,0.0,32.25
2003-05-01,26.851290322580645,20.21,36.96,65.8383870967742,5.73,1.3525806451612903,24.003225806451614,26.603548387096776,18.608064516129033,0.09774344921245048,2,0.0645,0.0,30.82
2003-06-01,23.392333333333333,18.55,33.97,84.688,907.45,1.6853333333333333,16.812,25.677666666666667,20.296666666666667,0.34526761258162086,27,0.9,45.93,10.03
2003-07-01,22.118709677419353,18.62,26.35,91.95451612903226,608.89,1.73,13.662580645161292,24.656451612903226,20.70258064516129,0.4458821220644992,31,1.0,82.32,4.46
2003-08-01,21.889032258064514,19.06,25.98,92.46225806451612,423.33,1.6180645161290323,14.73516129032258,24.911290322580644,20.567741935483873,0.4084946584655228,31,1.0,88.88,4.46
2003-09-01,21.874666666666666,18.18,27.33,90.00333333333333,130.32,1.1463333333333334,18.052,25.111,20.041333333333334,0.2811118633268289,21,0.7,89.3,7.19
2003-10-01,22.2441935483871,14.09,28.83,87.29451612903226,186.94,0.6438709677419355,18.452903225806452,22.94193548387097,19.831935483870968,0.1956692913385828,18,0.5806,78.74,10.22
2003-11-01,20.554666666666666,12.27,27.2,81.61333333333333,21.34,0.9056666666666667,19.555333333333333,21.610666666666667,17.032333333333334,0.09510735439289242,3,0.1,72.99,16.64
2003-12-01,18.899032258064516,11.11,27.27,73.70903225806451,2.2399999999999998,0.844516129032258,19.756451612903227,20.85483870967742,13.676774193548388,0.05266821345707651,1,0.0323,25.69,24.91
2004-01-01,19.80838709677419,11.47,28.22,70.68548387096774,0.33,0.7329032258064516,19.671290322580646,21.50548387096774,13.589032258064515,0.08528957355213218,0,0.0,51.67,26.81
2004-02-01,22.135517241379308,12.77,33.95,54.61620689655173,0.5,0.7848275862068966,23.16551724137931,24.041034482758622,10.794137931034484,0.03641761930033427,0,0.0,81.84,43.73
2004-03-01,25.854193548387098,15.09,37.01,49.32645161290322,16.86,0.9106451612903226,24.44193548387097,25.919677419354837,11.708387096774192,0.05701235827805484,3,0.0968,0.0,47.78
2004-04-01,26.753,17.59,38.53,64.135,21.939999999999998,0.6703333333333333,24.362333333333332,26.647333333333332,17.97533333333333,0.08574966850966947,4,0.1333,0.0,32.79
2004-05-01,23.57193548387097,19.3,36.49,84.88645161290323,466.69,1.1870967741935483,17.682580645161288,26.22258064516129,20.488709677419354,0.32567351457743887,26,0.8387,40.8,10.19
2004-06-01,22.46033333333333,19.23,27.98,90.11133333333333,571.51,1.8466666666666667,15.332333333333333,25.354666666666667,20.67233333333333,0.3952855490113589,29,0.9667,72.56,5.98
2004-07-01,21.66032258064516,18.0,26.08,91.82903225806452,677.41,1.617741935483871,14.712258064516128,25.631290322580647,20.21741935483871,0.4260040021646929,30,0.9677,95.42,4.69
2004-08-01,21.457741935483874,18.47,25.89,92.25193548387097,552.23,1.9058064516129032,14.702903225806452,25.4941935483871,20.09935483870968,0.4232842392954753,27,0.871,98.79,4.47
2004-09-01,21.85666666666667,17.36,27.55,89.62633333333333,104.92,0.8876666666666666,17.556333333333335,25.084,19.94,0.30009833625684357,21,0.7,89.81,7.26
2004-10-01,21.853548387096776,16.05,27.91,87.98225806451612,125.51,0.8635483870967742,18.82774193548387,23.646129032258063,19.611612903225808,0.20377065058728827,16,0.5161,89.9,9.57
2004-11-01,20.378333333333334,12.76,26.77,82.896,39.86,0.8896666666666667,19.003,21.514666666666667,17.079333333333334,0.11674206742687154,7,0.2333,67.95,15.11
2004-12-01,18.326129032258066,10.7,26.76,73.25806451612904,0.0,0.8848387096774194,20.463870967741936,21.149354838709677,12.906774193548388,0.03241157360096392,0,0.0,9.32,25.88
