month,T2M,T2M_MIN,T2M_MAX,RH2M,PRECTOTCORR,WS2M,ALLSKY_SFC_SW_DWN,CLRSKY_SFC_SW_DWN,T2MDEW,CLOUD_FRACTION,RAINY_DAY_COUNT,RAINY_DAY_FRACTION,MILD_SCORE,STARGAZING_SCORE
2006-01-01,18.971612903225807,10.26,27.61,74.96548387096773,2.6,0.8512903225806452,20.837419354838712,21.746774193548386,13.868709677419355,0.04181561966921299,1,0.0323,27.76,23.99
2006-02-01,20.148214285714285,9.82,31.62,57.208214285714284,0.0,0.8985714285714286,24.291785714285712,24.788214285714282,9.921428571428573,0.020026798449723993,0,0.0,61.38,41.93
2006-03-01,24.361612903225808,13.26,35.6,65.43741935483871,17.29,0.6080645161290323,24.24451612903226,25.95387096774194,15.987741935483871,0.06586126750935284,5,0.1613,18.24,32.29
2006-04-01,26.862666666666666,17.75,37.01,60.581,6.79,0.8,24.495333333333335,26.46833333333333,16.922333333333334,0.0745419054215728,1,0.0333,0.0,36.48
2006-05-01,25.759354838709676,20.08,36.51,72.56354838709679,382.14,1.285483870967742,21.32967741935484,26.26483870967742,19.356774193548386,0.1878999275371218,18,0.5806,0.0,22.28
2006-06-01,22.680666666666664,18.38,28.27,88.67166666666667,687.05,1.5353333333333334,16.016000000000002,25.93,20.575,0.3823370613189355,25,0.8333,66.27,7.0
2006-07-01,21.813548387096777,18.21,25.39,92.14709677419354,654.81,2.2467741935483874,13.172580645161291,24.450000000000003,20.44483870967742,0.4612441453921763,31,1.0,91.04,4.23
2006-08-01,21.55516129032258,18.44,26.94,91.90741935483871,433.71000000000004,1.7429032258064516,14.633225806451613,25.383870967741935,20.124193548387098,0.42352268394967596,27,0.871,98.42,4.67
2006-09-01,22.083666666666666,16.39,28.76,90.68166666666666,415.6,1.151,17.117666666666665,25.07633333333333,20.373,0.3173776070398384,27,0.9,83.32,6.36
2006-10-01,21.92290322580645,16.23,27.3,88.12645161290322,195.89,0.8503225806451613,18.133225806451613,23.39032258064516,19.713225806451614,0.22475520617845812,21,0.6774,87.92,9.2
2006-11-01,21.259999999999998,16.12,27.05,87.917,127.28999999999999,0.7643333333333333,16.71933333333333,21.063333333333333,19.03966666666667,0.20623516379173923,14,0.4667,93.14,9.59
