month,T2M,T2M_MIN,T2M_MAX,RH2M,PRECTOTCORR,WS2M,ALLSKY_SFC_SW_DWN,CLRSKY_SFC_SW_DWN,T2MDEW,CLOUD_FRACTION,RAINY_DAY_COUNT,RAINY_DAY_FRACTION,MILD_SCORE,STARGAZING_SCORE
2015-01-01,22.004193548387097,12.14,32.29,69.2074193548387,0.38,0.5216129032258066,18.901935483870968,20.656451612903226,15.063548387096775,0.08493792457249938,0,0.0,85.59,28.18
2015-02-01,24.294285714285714,16.11,34.04,57.3125,0.62,0.5396428571428571,22.553214285714287,23.697857142857142,13.339285714285714,0.048301534195376195,0,0.0,20.16,40.63
2015-03-01,26.32677419354839,18.05,36.45,62.95,34.07,0.5319354838709677,22.02548387096774,24.711290322580645,16.88806451612903,0.10868742249200447,9,0.2903,0.0,33.02
2015-04-01,25.98,20.01,37.33,74.532,101.86,0.478,21.147,25.557000000000002,20.18133333333333,0.17255546425636825,24,0.8,0.0,21.07
2015-05-01,25.121935483870967,19.17,34.67,83.60806451612903,193.32999999999998,0.5303225806451614,18.037419354838708,24.844516129032257,21.743870967741934,0.27398789893271713,24,0.7742,0.0,11.9
2015-06-01,23.646,19.8,29.12,90.46966666666667,704.74,0.893,14.029,24.86433333333333,21.857000000000003,0.43577815612725046,30,1.0,38.69,5.38
2015-07-01,23.121935483870967,19.3,27.27,92.20387096774193,596.7,0.9445161290322581,14.306774193548387,25.123870967741937,21.69709677419355,0.4305505623748138,31,1.0,53.66,4.44
2015-08-01,23.067419354838712,20.07,28.78,92.52064516129032,430.12,0.7961290322580645,15.833548387096773,25.568709677419356,21.695806451612906,0.3807451143660978,31,1.0,55.22,4.63
2015-09-01,23.244666666666667,19.97,28.8,90.56766666666667,257.56,0.5886666666666667,18.238,24.90666666666667,21.46466666666667,0.26774625267665964,27,0.9,50.15,6.91
2015-10-01,23.406129032258065,16.37,29.3,86.55870967741936,143.53,0.4703225806451613,18.32193548387097,22.733548387096775,20.76290322580645,0.1940573828646025,22,0.7097,45.54,10.83
2015-11-01,22.578666666666667,15.67,28.0,87.21733333333333,107.92999999999999,0.5066666666666667,15.823666666666666,20.942,20.151999999999997,0.2444051825677268,23,0.7667,69.18,9.66
2015-12-01,22.712903225806453,14.39,30.23,78.25290322580646,12.56,0.5287096774193548,17.97258064516129,20.28548387096774,18.151612903225807,0.11401765126818797,4,0.129,65.35,19.27
2016-01-01,23.120645161290323,14.2,33.91,65.15129032258065,0.89,0.5296774193548388,19.04258064516129,21.01451612903226,14.912580645161292,0.09383682554301942,0,0.0,53.7,31.58
2016-02-01,26.144137931034486,15.56,37.25,58.865172413793104,0.59,0.5251724137931034,20.401724137931033,22.736896551724136,15.758275862068967,0.10270409633437982,0,0.0,0.0,36.91
2016-03-01,28.062903225806455,19.84,37.86,58.14451612903226,4.01,0.5722580645161289,22.961612903225806,24.761612903225807,17.476451612903226,0.07269316449759644,0,0.0,0.0,38.81
2016-04-01,28.805999999999997,21.57,38.72,62.931000000000004,11.39,0.6913333333333332,23.762999999999998,25.799,19.628,0.07891778751114387,4,0.1333,0.0,34.14
