month,T2M,T2M_MIN,T2M_MAX,RH2M,PRECTOTCORR,WS2M,ALLSKY_SFC_SW_DWN,CLRSKY_SFC_SW_DWN,T2MDEW,CLOUD_FRACTION,RAINY_DAY_COUNT,RAINY_DAY_FRACTION,MILD_SCORE,STARGAZING_SCORE
2015-01-01,22.162258064516127,10.15,32.42,47.14354838709678,0.65,2.382903225806452,18.990000000000002,19.718064516129033,8.491935483870968,0.036923731309099206,0,0.0,81.08,50.9
2015-02-01,24.394642857142856,14.41,35.96,37.05714285714286,0.55,2.347142857142857,22.990000000000002,23.16464285714286,6.298928571428571,0.007539199210619629,0,0.0,17.3,62.47
2015-03-01,28.082903225806454,16.13,38.95,40.23,18.099999999999998,2.2887096774193547,22.449032258064516,24.220645161290324,11.559354838709677,0.07314474455276765,4,0.129,0.0,55.4
2015-04-01,29.733333333333334,18.64,40.09,46.33833333333334,45.14,2.1596666666666664,24.734333333333332,25.910666666666668,15.010666666666667,0.04539957803735917,7,0.2333,0.0,51.23
2015-05-01,30.648709677419355,23.48,41.49,52.07225806451613,44.56,3.2809677419354837,23.761935483870968,25.59774193548387,18.226774193548387,0.07171751540584481,13,0.4194,0.0,44.49
2015-06-01,26.909,21.25,35.85,69.512,49.82,5.361666666666666,19.477666666666668,25.42233333333333,20.212,0.23383639057521588,15,0.5,0.0,23.36
2015-07-01,27.154193548387095,21.26,35.51,67.37741935483871,27.52,6.006129032258064,19.39483870967742,24.991290322580646,19.863548387096774,0.22393608095723672,10,0.3226,0.0,25.32
2015-08-01,26.360967741935486,20.95,35.56,72.45290322580645,146.82,4.430645161290323,18.778709677419354,24.991935483870968,20.386129032258065,0.24860922878347858,21,0.6774,0.0,20.7
2015-09-01,25.138333333333332,19.74,32.57,79.51933333333334,111.76,2.64,19.279999999999998,23.313666666666666,20.96066666666667,0.17301725740266805,17,0.5667,0.0,16.94
2015-10-01,25.394516129032258,17.76,33.66,70.81612903225808,46.91,1.850967741935484,19.50032258064516,21.39741935483871,18.926129032258064,0.08866007356931804,11,0.3548,0.0,26.6
2015-11-01,24.659,14.97,33.59,67.41466666666666,17.62,2.7233333333333336,16.200333333333333,19.617666666666665,17.179,0.17419672743955272,7,0.2333,9.74,26.91
2015-12-01,24.440645161290323,12.08,35.39,54.560645161290324,1.13,2.369677419354839,17.86064516129032,18.924516129032256,12.546129032258065,0.05621654791531716,0,0.0,15.98,42.88
2016-01-01,23.625806451612902,13.68,35.19,49.38290322580646,1.84,2.075806451612903,18.09967741935484,19.271290322580644,10.540645161290323,0.06079576840026091,1,0.0323,39.26,47.54
2016-02-01,27.717241379310344,16.18,39.39,38.248275862068965,0.0,2.0617241379310345,21.473103448275864,22.264827586206895,10.475172413793102,0.03555941023417153,0,0.0,0.0,59.56
2016-03-01,30.42096774193548,19.18,40.65,31.083870967741937,0.67,2.0138709677419353,23.381290322580647,24.395806451612902,9.597096774193549,0.04158567707300298,0,0.0,0.0,66.05
2016-04-01,33.06166666666667,22.48,42.15,35.13699999999999,14.0,2.043,25.456666666666667,25.988666666666667,13.686333333333332,0.020470461483210634,5,0.1667,0.0,63.54
2016-05-01,31.27516129032258,22.86,41.7,50.52483870967742,64.84,3.266451612903226,24.044516129032257,26.183870967741935,18.193870967741937,0.08170506344708639,18,0.5806,0.0,45.43
2016-06-01,26.415000000000003,21.11,36.31,72.26966666666667,97.06,4.429333333333333,16.77,25.011333333333333,20.475666666666665,0.3295039582056135,20,0.6667,0.0,18.59
2016-07-01,25.556451612903224,20.8,33.46,76.65838709677419,114.53,5.011290322580645,15.638709677419355,24.86967741935484,20.739354838709676,0.3711736017432812,25,0.8065,0.0,14.68
2016-08-01,25.620322580645162,20.84,33.64,75.1658064516129,50.1,4.863548387096775,18.66516129032258,25.226774193548387,20.384838709677418,0.26010511105712064,13,0.4194,0.0,18.37
2016-09-01,24.66,19.71,33.52,77.25566666666667,105.87,3.662,15.274000000000001,23.215666666666667,19.878333333333334,0.34208221459646504,18,0.6,9.71,14.96
2016-10-01,24.350967741935484,15.32,33.59,66.02290322580646,16.21,2.329032258064516,20.774516129032257,22.178709677419352,16.482903225806453,0.06331267998952783,2,0.0645,18.54,31.83
2016-11-01,23.809666666666665,12.74,34.97,45.85966666666666,1.41,2.2383333333333337,18.937666666666665,19.598000000000003,9.668666666666667,0.03369391434500135,1,0.0333,34.01,52.32
2016-12-01,22.767419354838708,11.05,33.07,44.37483870967741,7.43,2.278709677419355,17.45967741935484,19.106451612903225,7.881290322580645,0.08618943103157173,3,0.0968,63.79,50.83
2017-01-01,22.969032258064516,11.68,34.35,42.211612903225806,0.02,2.177096774193548,18.622258064516128,19.371290322580645,7.806774193548387,0.038667132937003634,0,0.0,58.03,55.55
2017-02-01,25.1575,14.61,37.51,30.931428571428572,0.0,2.2685714285714287,22.878214285714286,23.05892857142857,4.535714285714286,0.007837063424455892,0,0.0,0.0,68.53
