month,T2M,T2M_MIN,T2M_MAX,RH2M,PRECTOTCORR,WS2M,ALLSKY_SFC_SW_DWN,CLRSKY_SFC_SW_DWN,T2MDEW,CLOUD_FRACTION,RAINY_DAY_COUNT,RAINY_DAY_FRACTION,MILD_SCORE,STARGAZING_SCORE
2024-01-01,24.365483870967743,15.0,34.63,59.740967741935485,15.39,2.0293548387096774,17.01225806451613,20.113225806451613,14.473870967741936,0.1541755545219804,4,0.129,18.13,34.05
2024-02-01,26.70448275862069,15.41,37.37,44.76413793103448,0.02,2.317241379310345,23.19689655172414,23.74896551724138,10.982758620689655,0.023246021605296763,0,0.0,0.0,53.95
2024-03-01,29.42516129032258,17.9,39.2,34.215806451612906,0.05,2.0667741935483868,23.899677419354838,24.925161290322578,10.220322580645162,0.0411425169539783,0,0.0,0.0,63.08
2024-04-01,31.588,22.25,41.44,36.06233333333333,3.15,2.2386666666666666,25.106333333333332,26.522666666666666,12.819333333333333,0.05340086466921379,1,0.0333,0.0,60.52
2024-05-01,27.45193548387097,19.49,40.12,70.86903225806452,173.25,1.8658064516129034,19.318064516129034,24.369032258064518,20.876129032258063,0.20726993540188499,21,0.6774,0.0,23.09
2024-06-01,24.358333333333334,18.65,31.99,78.82566666666666,154.17,3.503333333333333,17.726666666666667,25.329,20.006333333333334,0.3001434455893771,23,0.7667,18.33,14.82
2024-07-01,23.763548387096773,19.25,31.16,80.50741935483872,101.2,4.819677419354838,13.510645161290322,24.164516129032258,19.91516129032258,0.4408890668802563,25,0.8065,35.33,10.9
2024-08-01,24.31064516129032,19.81,31.01,82.77903225806452,148.68,2.7087096774193546,16.77032258064516,25.223870967741938,20.926774193548386,0.3351408036422233,23,0.7419,19.7,11.45
2024-09-01,24.550333333333334,18.91,31.95,78.25033333333333,40.37,3.0203333333333333,17.949,24.709999999999997,19.982000000000003,0.27361392148927544,9,0.3,12.85,15.8
2024-10-01,24.04,18.63,33.01,83.57806451612903,202.07999999999998,1.397741935483871,16.280322580645162,22.504516129032258,20.824193548387097,0.2765753110486784,24,0.7742,27.43,11.88
2024-11-01,22.897,17.0,29.5,81.52,35.2,2.0,15.412666666666667,20.319333333333336,19.18166666666667,0.24147773877095713,9,0.3,60.09,14.02
2024-12-01,22.53774193548387,12.98,29.76,81.94451612903227,103.28999999999999,1.8696774193548387,15.173870967741935,19.53258064516129,18.893870967741936,0.22315073244042205,8,0.2581,70.35,14.03
