month,T2M,T2M_MIN,T2M_MAX,RH2M,PRECTOTCORR,WS2M,ALLSKY_SFC_SW_DWN,CLRSKY_SFC_SW_DWN,T2MDEW,CLOUD_FRACTION,RAINY_DAY_COUNT,RAINY_DAY_FRACTION,MILD_SCORE,STARGAZING_SCORE
2009-01-01,20.22451612903226,11.75,31.61,68.35161290322581,1.25,1.6419354838709677,20.979032258064517,22.181935483870966,12.665806451612903,0.054228957012390056,0,0.0,63.56,29.93
2009-02-01,23.506428571428568,13.39,36.73,51.14392857142857,0.0,1.5717857142857141,23.482857142857142,24.177142857142858,10.290357142857143,0.028716615457338723,0,0.0,42.67,47.45
2009-03-01,26.266774193548386,16.41,36.72,47.07322580645161,18.02,1.463548387096774,22.300322580645158,25.07032258064516,11.928387096774193,0.11048920456007627,6,0.1935,0.0,47.08
2009-04-01,27.59733333333333,19.04,37.48,54.88866666666667,28.23,1.555,21.826666666666664,25.578,15.867666666666668,0.1466624964161911,6,0.2,0.0,38.5
2009-05-01,25.567741935483873,19.43,35.88,73.20161290322581,98.92,1.8370967741935484,20.193225806451615,25.00774193548387,19.57935483870968,0.19252102574686536,20,0.6452,0.0,21.64
2009-06-01,23.337333333333333,16.72,32.62,79.68933333333332,112.18,3.1296666666666666,18.17233333333333,26.000333333333334,19.201,0.3010730631658569,22,0.7333,47.5,14.2
2009-07-01,22.250967741935483,17.28,28.42,84.21483870967741,221.04,3.8538709677419356,13.538709677419355,24.801612903225806,19.259999999999998,0.4541197892957013,27,0.871,78.54,8.62
2009-08-01,22.68,18.24,29.27,84.3483870967742,99.25,2.7251612903225806,16.9741935483871,25.36967741935484,19.661612903225805,0.3309259212165907,21,0.6774,66.29,10.47
2009-09-01,22.931333333333335,17.65,31.03,84.204,110.98,2.266,16.215666666666667,24.81566666666667,19.833666666666666,0.3465552675057424,23,0.7667,59.1,10.32
2009-10-01,23.432258064516127,17.03,31.2,76.66806451612904,63.36,1.6096774193548387,18.863225806451613,23.19516129032258,18.544193548387096,0.1867603087406995,11,0.3548,44.79,18.97
2009-11-01,21.857000000000003,15.55,29.72,85.01766666666667,153.11,1.519,15.514000000000001,21.34466666666667,18.928,0.2731673798294656,17,0.5667,89.8,10.89
2009-12-01,21.51322580645161,13.56,29.35,78.45451612903226,16.99,1.526774193548387,15.716129032258063,19.756451612903227,17.093548387096774,0.20450649032574097,4,0.129,99.62,17.14
2010-01-01,22.14548387096774,13.23,31.86,67.51935483870967,1.06,1.5093548387096773,19.068709677419356,21.089032258064517,14.671935483870968,0.09579968184043075,0,0.0,81.56,29.37
2010-02-01,24.559642857142855,14.42,35.57,51.75464285714286,0.09,1.4342857142857142,22.42178571428571,23.540357142857143,11.868571428571428,0.04751718173956598,0,0.0,12.58,45.95
2010-03-01,27.365806451612904,16.89,37.71,43.93322580645162,2.27,1.6003225806451613,23.481290322580644,25.177096774193547,11.69032258064516,0.06735512306371638,0,0.0,0.0,52.29
2010-04-01,27.343,21.22,38.68,63.14933333333333,80.8,1.3186666666666667,22.397,25.706333333333337,18.305999999999997,0.12873610913004596,18,0.6,0.0,32.11
2010-05-01,25.95451612903226,19.24,35.67,74.40451612903226,84.41,1.9474193548387095,20.488709677419354,25.215806451612906,20.372258064516128,0.18746561936317474,23,0.7419,0.0,20.8
2010-06-01,23.55666666666667,19.36,33.28,81.80166666666668,165.18,2.9320000000000004,16.615666666666666,25.355,19.928,0.34467889305199506,28,0.9333,41.24,11.93
2010-07-01,22.181290322580644,17.9,29.12,84.02870967741936,146.51,3.1796774193548383,14.159032258064517,25.180967741935483,19.13741935483871,0.43770897118919816,30,0.9677,80.53,8.98
2010-08-01,22.68903225806452,18.04,29.95,84.89322580645161,135.57,2.7538709677419355,14.925806451612903,25.431290322580644,19.77548387096774,0.4130928371196265,25,0.8065,66.03,8.87
2010-09-01,22.63566666666667,17.66,30.02,83.22366666666667,89.74,2.0286666666666666,16.679333333333332,24.941666666666666,19.340333333333334,0.33126628800534585,18,0.6,67.55,11.22
2010-10-01,22.467741935483872,17.1,28.88,87.28709677419356,175.19,1.506451612903226,16.136774193548387,23.110967741935486,20.059354838709677,0.30176986209591883,26,0.8387,72.35,8.88
2010-11-01,21.320333333333334,16.39,26.94,89.36633333333333,223.47,1.1653333333333333,13.796666666666665,21.066333333333333,19.39966666666667,0.3450845741230083,27,0.9,94.87,6.96
2010-12-01,19.980645161290322,12.12,26.38,85.6858064516129,24.87,1.2412903225806453,16.002903225806453,20.001612903225805,17.261935483870968,0.1999193613418272,8,0.2581,56.59,11.45
2011-01-01,20.598709677419354,12.55,29.75,73.34387096774194,0.49,1.4070967741935483,20.671290322580642,22.03806451612903,14.694193548387096,0.06201879446119618,0,0.0,74.25,25.0
2011-02-01,22.2925,11.7,33.44,63.06892857142857,20.84,1.2775,21.700357142857143,23.511785714285715,12.986428571428572,0.07704342806799025,6,0.2143,77.36,34.09
2011-03-01,25.669677419354837,14.21,36.82,49.42774193548387,5.34,1.4929032258064516,24.49516129032258,25.98709677419355,11.789032258064516,0.057410625620655464,1,0.0323,0.0,47.67
2011-04-01,26.342,19.46,36.83,61.682,117.83,1.3423333333333334,21.187333333333335,25.506666666666668,16.955333333333332,0.1693413486670151,9,0.3,0.0,31.83
